Branch,Location,Longitude,Latitude
인제내린천점,강원도 인제군 인제읍 내린천로 6214-1,128.2069522,38.04348824
홍천점,강원도 홍천군 홍천읍 마지기로 15,127.8875485,37.69115097
강촌방곡점,강원도 춘천시 남산면 강촌로 184,127.6373987,37.80308871
동해무릉숲점,강원도 동해시 삼화로 525-2,129.0213071,37.46325214
속초스위첸점,강원도 속초시 청대로 40,128.5952743,38.18432043
주문진아들바위점,강원도 강릉시 주문진읍 소돌안길 64,128.8284012,37.90551284
춘천강남점,강원도 춘천시 경춘로 2354,127.7201028,37.86368356
동해송정점,강원도 동해시 송정중앙로 41,37.49743047,37.49743047
고성자작도해변점,강원도 고성군 죽왕면 자작도선사길 94,128.5421657,38.30954136
강릉사천진해변점,강원도 강릉시 사천면 진리해변길 109,128.8756017,37.84096554
원주치악산점,강원도 원주시 소초면 황골로 190,127.9952317,37.38089843
남춘천역점,강원도 춘천시 우묵길 32,127.7231904,37.86470001
속초교동사거리점,강원도 속초시 교동로 10,128.5798651,38.20027264
홍천서석중앙점,강원도 홍천군 서석면 구룡령로 2536-1,128.1865639,37.71203361
삼척새천년점,강원도 삼척시 새천년도로 89-1,129.1910096,37.43953389
철원금강산점,강원도 철원군 갈말읍 명성로149번길 10,127.3073199,38.14543192
우두대로점,강원도 춘천시 영서로 2752-1,127.7285429,37.89894251
춘천온의금호점,강원도 춘천시 스포츠타운길 538,127.7152748,37.86899707
고한중앙점,강원도 정선군 고한읍 고한6길 5,128.8538583,37.20087738
스키하우스점,강원도 평창군 봉평면 태기로 174,128.3095959,37.57374985
원주삼둥이점,강원도 원주시 평원초교길 24,127.9317976,37.35057456
삼척임원항점,강원도 삼척시 원덕읍 임원항구로 21,129.3449079,37.23012818
삼환점,강원도 속초시 밤골5길 35,128.5668345,38.2027779
인제상남점,강원도 인제군 상남면 상남로47번길 2,128.2584794,37.87358078
퇴계점,강원도 춘천시 행촌로 30,127.7243131,37.85926042
원주번영점,강원도 원주시 원일로 59,127.9516432,37.34744847
원주명륜한솔점,강원도 원주시 한지공원길 102,127.9389556,37.33454767
원주역점,강원도 원주시 평원로 154,127.9449208,37.35642961
정선민둥산점,강원도 정선군 남면 무릉1로 97,128.7764422,37.24559144
춘천남산점,강원도 춘천시 남산면 한치로 89,127.6468276,37.79044875
양구남면점,강원도 양구군 국토정중앙면 삼팔선로 6,128.0338074,38.10849247
경강역점,강원도 춘천시 남산면 서백길 68,127.5514141,37.84201464
강원랜드1호점,강원도 정선군 사북읍 하이원길 265,128.8214446,37.21188384
평창점,강원도 평창군 평창읍 평창중앙로 42,128.3956814,37.36782846
문막동화점,강원도 원주시 문막읍 왕건로 81,127.8291013,37.32669943
춘천학곡점,강원도 춘천시 새청말길 26,127.7381338,37.89743249
정선임계대로점,강원도 정선군 임계면 백두대간로 1374,128.8501755,37.4962437
철원동송중앙점,강원도 철원군 동송읍 금학로 185-1,127.2195855,38.20550771
철원와수점,강원도 철원군 서면 와수로 180-1,127.4391117,38.23948484
양양동해대로점,강원도 양양군 손양면 동해대로 2519,128.6357124,38.07199969
고한원진점,강원도 정선군 고한읍 강원남로 6484,128.8722252,37.19642728
백담사입구점,강원도 인제군 북면 백담로 97,128.3525245,38.19363414
춘천동부시장점,강원도 춘천시 춘천로185번길 16-8,127.7346453,37.87780032
춘천한림대점,강원도 춘천시 삭주로 72,127.7387293,37.88335077
원주혁신조은점,강원도 원주시 건강로 21,127.9877766,37.32556966
태백현대점,강원도 태백시 해지개길 26,128.9837217,37.16112282
삼척대점,강원도 삼척시 언장1길 66,129.1663301,37.45483652
인제용대점,강원도 인제군 북면 미시령로 631,128.2886789,38.18365441
춘천현대점,강원도 춘천시 춘천로 177,127.733922,37.87662735
횡계로타리점,강원도 평창군 대관령면 대관령로 97,128.7073449,37.67257618
횡성갑천점,강원도 횡성군 갑천면 청정로 273,128.1087033,37.55863423
춘천교육대학교점,강원도 춘천시 공지로 126,37.85941384,37.85941384
홍천현대점,강원도 홍천군 홍천읍 홍천로 480,127.8947985,37.6960414
철원동송점,강원도 철원군 동송읍 금학로 238,127.2173941,38.20969159
홍천수타사점,강원도 홍천군 영귀미면 수타사로 419,127.9548982,37.69725107
강원도재활병원점,강원도 춘천시 충열로142번길 24-16,127.7411592,37.90367427
홍천비발디타운점,강원도 홍천군 서면 한치골길 602,127.6942705,37.66489386
춘천운교로타리점,강원도 춘천시 금강로 114,127.7319475,37.8756858
영월레스트힐점,강원도 영월군 영월읍 제방안길 64,128.4678209,37.17949333
동해묵호점,강원도 동해시 일출로 9-1,129.1093175,37.55023838
남원로점,강원도 원주시 남원로469번길 13-10,127.9417485,37.32743928
문막경동대정문점,강원도 원주시 문막읍 법후로 863,127.7965236,37.26420938
태백훈이점,강원도 태백시 황지남1길 15,128.9936475,37.16765411
강릉유천올림피아점,강원도 강릉시 사임당로 180,128.8661337,37.76089914
횡성둔내문화점,강원도 횡성군 둔내면 둔방로4번길 26,128.2122693,37.51424135
고성죽왕점,강원도 고성군 죽왕면 동해대로 5895,128.5242021,38.3285971
고성바다풍경점,강원도 고성군 토성면 토성로 85,128.5632766,38.25370863
횡계올림픽점,강원도 평창군 대관령면 삼현동1길 10-6,128.6986096,37.66220314
가톨릭관동대점,강원도 강릉시 범일로579번길 24,128.8739263,37.73736993
동해부곡점,강원도 동해시 발한로 47,129.1026251,37.53690262
무실이편한점,강원도 원주시 만대로 89,127.9179284,37.33727434
화천사내중앙점,강원도 화천군 사내면 사내로 40-4,127.5213281,38.07166295
춘천후평동아점,강원도 춘천시 서부대성로 327,127.7528769,37.87152378
원주태장공단점,강원도 원주시 태장공단길 54-14,127.9466684,37.4072258
춘천터미널길점,강원도 춘천시 터미널길14번길 20,127.7168597,37.864721
설악해수욕장점,강원도 양양군 강현면 뒷나루2길 5-4,128.6229097,38.12934375
강릉경포해변점,강원도 강릉시 창해로 423,128.913842,37.7993006
강릉입암사오주공점,강원도 강릉시 성덕포남로 89-12,37.76174552,37.76174552
강릉블루비치점,강원도 강릉시 해안로 655,128.8949959,37.81463637
삼척씨스포빌점,강원도 삼척시 근덕면 상맹방길 192,129.211952,37.40117063
속초수복로점,강원도 속초시 수복로 248-1,128.5912747,38.20918939
원주소초점,강원도 원주시 소초면 송문2길 71,37.38427515,37.38427515
